CODE,MAXHT,GFORM,STEMCATS,SLA,LWC,BA,CA
arijer,36.93,gr,,7.45,.57,9.66,796.33
atrsem,23.80,ssh,1.93,13.51,.79,.32,699.51
atrsti,72.67,ssh,1.10,12.78,.77,.21,780.29
beyopa,120.00,sh,2.45,6.63,.57,15.56,1641.14
boswal,207.00,sh,2.47,2.99,.50,16.87,2847.41
calcun,23.33,f,2.37,20.61,.80,2.24,767.92
calgla,1358.33,tr,1.03,4.93,.54,1.33,2038.76
callap,31.07,f,2.90,20.38,.80,3.87,821.48
caslae,301.67,sh,1.24,7.91,.66,.47,566.19
chedes,20.67,ssh,3.20,15.18,.87,6.72,613.34
cheila,23.33,f,,8.64,.75,4.86,84.11
chepro,4.33,ssh,3.50,9.46,.73,7.77,317.52
dancae,31.00,gr,4.30,7.24,.64,12.66,827.44
digcoe,50.00,gr,4.10,17.26,.74,135.65,468.91
digdiv,32.67,gr,4.30,,,11.43,455.11
dovian,373.33,sh,2.21,10.35,.72,5.55,2916.05
dovicu,226.67,sh,2.63,10.58,.65,8.82,4053.18
dovisp,416.67,sh,1.57,10.72,.67,7.43,1182.47
einnut,17.33,ssh,3.07,17.01,.90,4.72,417.44
enctom,23.67,ssh,1.72,11.54,.89,1.05,869.59
entaci,31.67,gr,4.40,14.10,.62,94.67,613.61
eregla,163.33,sh,3.45,8.06,.73,73.00,3367.26
erelon,585.00,tr,1.61,5.96,.69,3.39,2948.80
eutmic,71.33,sh,2.07,12.04,.57,3.55,735.32
greane,43.33,sh,2.27,4.03,.52,18.14,972.51
haktep,1079.17,tr,2.37,2.14,.45,.40,673.01
lomsp,58.33,gr,2.96,3.01,.47,31.54,924.31
micses,142.00,sh,2.43,11.32,.55,23.41,2071.23
minlep,13.37,f,4.57,21.54,.86,8.35,459.53
olepim,99.00,sh,2.18,13.17,.75,2.71,892.91
oleram,65.33,f,3.13,14.63,.79,9.17,2196.99
paneff,36.67,gr,4.60,14.56,.66,4.19,415.61
pascon,32.13,gr,4.70,,,17.91,398.50
pimmic,193.33,sh,1.45,15.60,.81,1.52,1599.44
rhaspi,139.00,ssh,1.50,10.60,.84,.92,770.51
scldia,16.50,ssh,3.23,8.48,.87,4.80,404.66
senart,211.67,sh,1.43,3.95,.62,3.58,4099.23
sidcun,12.33,f,2.57,7.73,.73,.61,269.16
solfer,108.33,f,1.11,15.11,.79,.26,385.46
solsp,27.67,f,2.53,10.91,.84,2.00,378.01
spapub,63.33,sh,4.00,11.61,.63,10.38,1265.43
thetri,110.00,gr,4.40,11.10,.61,32.93,2608.18
thymit,14.83,gr,4.00,16.91,.67,28.17,98.19
vergre,21.50,f,1.30,12.94,.73,.07,141.41
vitcun,20.00,f,1.93,22.02,.77,.48,251.25
vittri,31.87,f,1.44,19.78,.71,.31,653.81
